question_date_ist,question_time_ist,question,status,guardian_id
2025-10-31,"31 Oct 2025, 02:40:12 PM",I am feeling very low today. can you help me?,answered,null
2025-10-31,"31 Oct 2025, 02:39:26 PM",is it going to rain today,answered,null
2025-10-31,"31 Oct 2025, 02:38:39 PM",hows the weather today?,answered,null
2025-10-30,"30 Oct 2025, 04:34:59 PM",tell me details about the book reading quiz competition,answered,null
2025-10-30,"30 Oct 2025, 04:28:27 PM",when is mock LogiQids?,answered,null
2025-10-30,"30 Oct 2025, 04:03:54 PM",when is the mock LogiQids test?,answered,null
2025-10-30,"30 Oct 2025, 03:55:18 PM",school ranking,answered,null
2025-10-30,"30 Oct 2025, 03:54:49 PM",show me circular on school ranking,answered,null
2025-10-29,"29 Oct 2025, 11:53:52 PM",national ranking,answered,null
2025-10-29,"29 Oct 2025, 11:53:35 PM",school ranking,answered,null
2025-10-29,"29 Oct 2025, 11:52:35 PM",tell me about school ranking,answered,null
2025-10-29,"29 Oct 2025, 11:51:45 PM",when is Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 11:51:10 PM",when is LogiQids?,answered,null
2025-10-29,"29 Oct 2025, 11:46:43 PM",when is children day?,answered,null
2025-10-29,"29 Oct 2025, 11:45:47 PM",when is LogiQids?,answered,null
2025-10-29,"29 Oct 2025, 11:40:42 PM",tell me in detail about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 11:32:24 PM",who is on the pta?,answered,null
2025-10-29,"29 Oct 2025, 11:30:32 PM",when is Christmas break?,answered,null
2025-10-29,"29 Oct 2025, 11:28:34 PM",when is edu trip?,answered,null
2025-10-29,"29 Oct 2025, 11:27:52 PM",when is edutrip?,no-structured-event,null
2025-10-29,"29 Oct 2025, 11:26:05 PM",Nashik trip tell me about it in detail,answered,null
2025-10-29,"29 Oct 2025, 11:17:33 PM",when is the edu trip,answered,null
2025-10-29,"29 Oct 2025, 11:16:01 PM",edu trip,answered,null
2025-10-29,"29 Oct 2025, 11:15:29 PM",nashik trip,answered,null
2025-10-29,"29 Oct 2025, 11:14:31 PM",Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 11:14:04 PM",christmas holidays,answered,null
2025-10-29,"29 Oct 2025, 11:09:53 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 11:05:26 PM",tell me about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 11:04:55 PM",when is Christmas?,answered,null
2025-10-29,"29 Oct 2025, 11:04:39 PM",what are the upcoming events?,answered,null
2025-10-29,"29 Oct 2025, 11:04:18 PM",what is the circular about school rankings?,answered,null
