id,guardian_id,question,answer,status,similarity_score,llm_model,response_latency_ms,cited_document_ids,escalated_at,created_at
009fa9aa-7c73-4d52-b120-bbfb74cf1ca9,null,I am feeling very low today. can you help me?,"Calendar: On that date Election Day on 31 Oct 2025. Election Day. Audience: primary, secondary.

Circulars:
- C 155 (2025 26) Invitation To “relay For Life 2025” – A Fundraising Event In Collaboration With The Indian Cancer Society
- C 178 (2025 26) What's Your Book Quotient 2025 2026 (inter JBCN Reading Quiz Competition)",answered,null,calendar-resolver,4167,"[""7d1bd820-2367-456a-854d-c9729ba8fb62"",""613bfbc4-b590-4eab-b800-5d6fd50cfe7d""]",null,2025-10-31 09:10:12.260241+00
9aaab890-0648-4f97-a592-54041c8aab4b,null,is it going to rain today,"Calendar: On that date Election Day on 31 Oct 2025. Election Day. Audience: primary, secondary.

Circulars:
- C 060 (2025 26) Early Dispersal Owing To Heavy Rains",answered,null,calendar-resolver,2646,"[""b0229be3-8675-4759-b653-ff1658e6444d""]",null,2025-10-31 09:09:26.816369+00
851d6112-b540-41d7-abf6-8010dbd8e68d,null,hows the weather today?,"Calendar: On that date Election Day on 31 Oct 2025. Election Day. Audience: primary, secondary.",answered,null,calendar-resolver,3596,[],null,2025-10-31 09:08:39.514737+00
af80ff75-7d36-4433-abbe-8ea2484a529a,null,tell me details about the book reading quiz competition,"C 119 (2025 26) External Competitions In Individual Sports, Try Out Results notes August 26, 2025 on 26 Aug 2025.

The ""What's Your Book Quotient?"" (WYBQ) is an Inter-JBCN Reading Quiz Competition for grades 2 to 7, as detailed in Circular C 178 (2025 26). It aims to promote independent reading skills. Round 2, the Individual Round, involves participants reading two books provided by the LRC. Ms. Rozmeen will announce the titles before the Christmas break, and the books will be given to Round 1 winners. The Oral Quiz for Round 2 is scheduled between February 9th and 13th, 2026.

Sources:
1. C 119 (2025 26) External Competitions In Individual Sports, Try Out Results — 2025-08-26
2. C 178 (2025 26) What's Your Book Quotient 2025 2026 (inter JBCN Reading Quiz Competition) — 2026-02-13
3. C 145 (2025 26) External Competitions In Individual Sports, Lawn Tennis Try Out Results — 2025-08-26
4. C 029 (2025 26) Registration For External Competitions In Individual Sports, Try Out Registration For AY 2025–26 — 2025-08-02
5. C 146 (2025 26) Child Protection Policy Parent Handbook On Toddle — 2025-10-06",answered,0.97,gemini-2.0-flash,15793,"[""0f7165bf-4407-4fa0-ae16-5009572d0adc"",""613bfbc4-b590-4eab-b800-5d6fd50cfe7d"",""f1ad9559-a3a2-41bd-80b9-dbd327d9fc51"",""3dae757d-c1c2-473c-8ad5-248316da48e9"",""2cbdc50d-33ec-4a80-8323-e11f36c34ae0""]",null,2025-10-30 11:04:59.220224+00
aba88312-7ea1-4f44-8e4e-e182a996cc5a,null,when is mock LogiQids?,"Calendar: LogiQids - Level 1 (Grade 1- 5) runs on 12 Nov 2025. LogiQids - Level 1 (Grade 1- 5). Audience: primary.

Circulars:
- Mock Exam JBCN International School, Parel (1)
- Logiqids Logical Reasoning Exam To Be Held On 12th November",answered,null,calendar-resolver,2748,"[""7092ed30-a04e-486a-9881-eed3cd7cd583"",""c36fbb8e-b7dd-4b2b-9e64-3cab176388d6""]",null,2025-10-30 10:58:27.292664+00
e551ea7c-6b3c-4888-b4c0-48343bbdd6fc,null,when is the mock LogiQids test?,"Calendar: LogiQids - Level 1 (Grade 1- 5) runs on 12 Nov 2025. LogiQids - Level 1 (Grade 1- 5). Audience: primary.

Circulars:
- Logiqids Logical Reasoning Exam To Be Held On 12th November
- C 056 (2025 26) Don’t Miss This A Chance To Meet The Fastest Man On Earth Usain Bolt",answered,null,calendar-resolver,2817,"[""c36fbb8e-b7dd-4b2b-9e64-3cab176388d6"",""907a1106-b1e8-47af-92c7-14639e0849d7""]",null,2025-10-30 10:33:54.662554+00
d4f1552c-0fa8-4d6a-9105-869d90236209,null,school ranking,"JBCN International School, Parel has achieved top honors across three prestigious national education rankings for 2025-26, reflecting the collective spirit of the community, according to Circular C 172. The school has also been ranked 33rd among the Top IB Schools globally, as mentioned in Circular C 148. This global recognition reflects the strength of academic results, the quality of university placements, and the depth of teaching and learning practices.

Sources:
1. C 172 (2025 26) Celebrating JBCN Parel’s Outstanding National Rankings — 2025-10-30
2. Grade 3 ENA Welcoming The Learners Back To School — 2025-10-30
3. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
4. C 148 (2025 26) Celebrating Global Recognition JBCN Parel Is A Part Of The Top 40 IB Schools In The World — 2025-10-07
5. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01",answered,0.933333,gemini-2.0-flash,12933,"[""9d8e658c-12e4-4f3f-83ac-6a3d8d80c9ab"",""7f0e37ea-f91d-49eb-8d49-261e8136d733"",""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""9ba2ad9a-57fe-4631-a58c-f0e3c5c4e4ed"",""4738b239-a818-4e0f-ac5e-67218a1dca93""]",null,2025-10-30 10:25:18.782916+00
dace745c-4b07-4943-a425-5d948d1f67ed,null,show me circular on school ranking,"I do not have any circulars about school rankings. However, I can provide information on school bus routes, leadership transitions, school schedules, clarification about Diwali break and school reopening, Trinity School of London Music Certificate Examination Preparation, LQ Exam, and English Show and Tell Engagement.

Sources:
1. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
2. English Show And Tell Engagement (online) — 2025-10-30
3. C 081 (2025 26) Clarification About Diwali Break & School Reopening — 2025-10-24
4. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01
5. C 062 (2025 26) School Schedule For Tuesday, 19th August 2025 — 2025-08-19",answered,0.55,gemini-2.0-flash,17158,"[""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""905933ee-28c9-4f5b-991a-9f74292a74d6"",""066f49cd-2f7a-427f-a971-f2f83e7c62a8"",""4738b239-a818-4e0f-ac5e-67218a1dca93"",""2496a2dc-ebe3-4277-b85c-6804742a9f9e""]",null,2025-10-30 10:24:49.92314+00
209876e7-cb81-4426-9364-06fd74aad651,null,national ranking,"Calendar: International Friendship Day Celebrations runs on 01 Aug 2025. International Friendship Day Celebrations. Audience: primary.

Circulars:
- C 172 (2025 26) Celebrating JBCN Parel’s Outstanding National Rankings
- LQ Exam Circular (JBCN International School, Parel) (2)",answered,null,calendar-resolver,6397,"[""9d8e658c-12e4-4f3f-83ac-6a3d8d80c9ab"",""b5f6c37c-3348-4405-ae14-2b75b08d7639""]",null,2025-10-29 18:23:52.335632+00
eb55238c-0235-41bc-8845-08fd7089c235,null,school ranking,"JBCN International School, Parel has achieved top honors across three prestigious national education rankings for 2025–26, reflecting the collective spirit of the community (Circular C 172). The school has also been ranked 33rd among the Top IB Schools globally, based on academic results, university placements, and teaching and learning practices (Circular C 148). This global recognition reflects the strength of the school's academic results, the quality of university placements, and the depth of teaching and learning practices (Circular C 148).

Sources:
1. C 172 (2025 26) Celebrating JBCN Parel’s Outstanding National Rankings — 2025-10-29
2. Grade 3 ENA Welcoming The Learners Back To School — 2025-10-29
3. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
4. C 148 (2025 26) Celebrating Global Recognition JBCN Parel Is A Part Of The Top 40 IB Schools In The World — 2025-10-07
5. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01",answered,0.933333,gemini-2.0-flash,28614,"[""9d8e658c-12e4-4f3f-83ac-6a3d8d80c9ab"",""7f0e37ea-f91d-49eb-8d49-261e8136d733"",""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""9ba2ad9a-57fe-4631-a58c-f0e3c5c4e4ed"",""4738b239-a818-4e0f-ac5e-67218a1dca93""]",null,2025-10-29 18:23:35.957909+00
